time,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg
20200102,1006.44,1022.64,1006.44,1022.64,0.0,2.26,100.55,43.16,0.0,0.0
20200103,1025.72,1032.94,1019.71,1024.98,0.0,0.23,94.7,47.8,0.0,0.0
20200106,1020.42,1039.78,1020.42,1026.95,0.0,0.19,109.48,51.16,0.0,0.0
20200107,1024.78,1035.07,1015.63,1035.07,0.0,0.79,113.39,50.82,0.0,0.0
20200108,1028.73,1050.68,1026.71,1045.98,0.0,1.06,137.0,57.57,0.0,0.0
20200109,1054.09,1075.35,1054.09,1072.75,0.0,2.56,131.64,59.65,0.0,0.0
20200110,1075.85,1080.01,1060.51,1060.51,0.0,-1.14,93.44,44.39,0.0,0.0
20200113,1060.78,1095.21,1055.06,1095.21,0.0,3.27,99.65,55.6,0.0,0.0
20200114,1096.6,1127.15,1093.89,1111.71,0.0,1.51,146.48,74.86,0.0,0.0
20200115,1105.92,1114.8,1099.62,1110.29,0.0,-0.13,100.55,55.11,0.0,0.0
20200116,1111.42,1164.24,1111.42,1156.47,0.0,4.16,134.89,80.52,0.0,0.0
20200117,1160.42,1260.72,1160.42,1248.02,0.0,7.92,300.52,131.68,0.0,0.0
20200120,1244.15,1270.01,1207.12,1235.61,0.0,-0.99,235.38,119.54,0.0,0.0
20200121,1228.54,1247.25,1191.39,1191.39,0.0,-3.58,169.43,88.02,0.0,0.0
20200122,1171.05,1245.68,1148.36,1244.99,0.0,4.5,242.43,114.95,0.0,0.0
20200123,1217.06,1264.01,1175.06,1201.57,0.0,-3.49,180.12,99.41,0.0,0.0
20200203,1015.26,1074.56,1008.61,1014.86,0.0,-15.54,253.63,90.94,0.0,0.0
20200204,1039.28,1134.79,1039.28,1134.22,0.0,11.76,214.62,93.74,0.0,0.0
20200205,1150.26,1227.55,1150.26,1182.03,0.0,4.22,242.85,122.37,0.0,0.0
20200206,1169.26,1225.34,1169.26,1210.7,0.0,2.43,216.58,104.17,0.0,0.0
20200207,1209.18,1289.72,1209.18,1289.72,0.0,6.53,228.03,131.5,0.0,0.0
20200210,1294.12,1333.24,1286.55,1315.43,0.0,1.99,309.16,139.18,0.0,0.0
20200211,1310.57,1310.57,1261.16,1279.83,0.0,-2.71,228.25,112.45,0.0,0.0
20200212,1268.86,1347.71,1268.86,1334.34,0.0,4.26,201.04,111.18,0.0,0.0
20200213,1339.55,1399.07,1335.96,1339.26,0.0,0.37,264.52,137.06,0.0,0.0
20200214,1337.35,1357.54,1274.65,1298.18,0.0,-3.07,209.02,118.24,0.0,0.0
20200217,1307.42,1355.35,1307.42,1355.35,0.0,4.4,193.97,102.75,0.0,0.0
20200218,1354.56,1382.4,1350.33,1371.49,0.0,1.19,192.97,107.7,0.0,0.0
20200219,1369.59,1384.46,1346.91,1349.12,0.0,-1.63,193.61,108.55,0.0,0.0
20200220,1352.85,1365.83,1299.07,1327.22,0.0,-1.62,182.09,109.23,0.0,0.0
20200221,1315.41,1344.45,1315.41,1317.05,0.0,-0.77,152.75,89.11,0.0,0.0
20200224,1309.98,1335.96,1301.6,1324.77,0.0,0.59,155.07,85.59,0.0,0.0
20200225,1284.84,1342.48,1284.84,1341.39,0.0,1.25,174.5,99.95,0.0,0.0
20200226,1316.04,1331.95,1260.96,1262.08,0.0,-5.91,206.28,93.11,0.0,0.0
20200227,1266.33,1266.33,1220.41,1231.92,0.0,-2.39,140.37,79.49,0.0,0.0
20200228,1172.71,1194.54,1147.21,1154.14,0.0,-6.31,171.58,83.12,0.0,0.0
20200302,1167.83,1224.7,1163.69,1217.14,0.0,5.46,205.44,72.52,0.0,0.0
20200303,1241.12,1292.46,1233.98,1247.13,0.0,2.46,194.92,82.12,0.0,0.0
20200304,1230.32,1241.01,1189.89,1221.26,0.0,-2.08,122.75,62.98,0.0,0.0
20200305,1242.66,1242.84,1218.47,1238.96,0.0,1.45,189.83,66.14,0.0,0.0
20200306,1219.97,1224.59,1208.84,1213.34,0.0,-2.07,123.92,47.55,0.0,0.0
20200309,1185.75,1197.99,1147.82,1147.82,0.0,-5.4,153.64,55.38,0.0,0.0
20200310,1122.82,1193.67,1113.89,1193.67,0.0,4.0,162.96,70.86,0.0,0.0
20200311,1196.66,1208.79,1160.9,1160.9,0.0,-2.75,214.78,61.98,0.0,0.0
20200312,1138.16,1154.62,1128.74,1143.44,0.0,-1.5,124.53,44.56,0.0,0.0
20200313,1083.16,1169.33,1083.16,1157.0,0.0,1.19,134.62,66.09,0.0,0.0
20200316,1170.11,1178.89,1098.61,1098.61,0.0,-5.05,124.46,61.64,0.0,0.0
20200317,1117.08,1123.56,1063.63,1109.96,0.0,1.03,108.78,52.17,0.0,0.0
20200318,1125.39,1144.88,1087.54,1087.73,0.0,-2.0,112.1,55.52,0.0,0.0
20200319,1087.27,1102.24,1061.33,1096.96,0.0,0.85,105.27,49.34,0.0,0.0
20200320,1107.73,1112.53,1082.42,1094.75,0.0,-0.2,77.27,35.64,0.0,0.0
20200323,1060.69,1061.86,1004.84,1007.92,0.0,-7.93,103.44,47.11,0.0,0.0
20200324,1034.6,1038.24,988.66,1028.35,0.0,2.03,78.61,38.88,0.0,0.0
20200325,1064.59,1075.37,1059.63,1064.34,0.0,3.5,97.19,41.27,0.0,0.0
20200326,1057.82,1072.26,1053.78,1056.16,0.0,-0.77,60.57,29.16,0.0,0.0
20200327,1070.81,1072.96,1049.54,1051.87,0.0,-0.41,90.03,27.85,0.0,0.0
20200330,1029.05,1029.05,992.56,1010.97,0.0,-3.89,70.66,31.11,0.0,0.0
20200331,1023.38,1030.77,1003.63,1005.99,0.0,-0.49,54.25,27.06,0.0,0.0
20200401,1001.37,1036.92,1001.37,1014.85,0.0,0.88,61.41,30.97,0.0,0.0
