time,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ
20200207,1240.04,1307.76,1234.23,1307.76,0.0,5.57,566.48,323.86,0.0,0.0,1312.89,1142.43,971.98,79.64,71.42,96.08
20200210,1310.53,1336.53,1293.43,1322.25,0.0,1.11,593.29,300.52,0.0,0.0,1335.8,1157.32,978.85,84.94,75.93,102.97
20200211,1318.42,1318.42,1266.21,1283.57,0.0,-2.93,503.75,266.32,0.0,0.0,1346.21,1170.14,994.06,84.46,78.78,95.84
20200212,1274.8,1360.55,1274.8,1348.7,0.0,5.07,476.39,276.05,0.0,0.0,1367.67,1185.42,1003.16,88.5,82.02,101.46
20200213,1360.13,1409.68,1353.04,1360.71,0.0,0.89,614.41,350.46,0.0,0.0,1387.44,1200.9,1014.35,88.19,84.07,96.42
20200214,1359.37,1382.96,1305.97,1327.22,0.0,-2.46,531.02,304.96,0.0,0.0,1398.72,1213.34,1027.96,84.48,84.21,85.03
20200217,1332.97,1381.55,1332.97,1381.55,0.0,4.09,496.99,279.52,0.0,0.0,1416.6,1228.6,1040.6,85.79,84.74,87.9
20200218,1381.58,1404.71,1372.53,1399.38,0.0,1.29,490.56,314.44,0.0,0.0,1436.41,1243.27,1050.13,88.95,86.14,94.57
20200219,1398.78,1412.17,1373.44,1373.44,0.0,-1.85,478.32,293.91,0.0,0.0,1448.17,1256.03,1063.89,85.38,85.89,84.36
20200220,1377.76,1390.02,1321.73,1348.34,0.0,-1.83,422.23,254.96,0.0,0.0,1452.33,1267.71,1083.09,75.68,82.48,62.06
20200221,1337.56,1373.67,1337.56,1346.86,0.0,-0.11,447.55,327.99,0.0,0.0,1457.32,1277.34,1097.35,68.87,77.95,50.72
20200224,1341.99,1359.23,1328.75,1351.71,0.0,0.36,420.0,272.39,0.0,0.0,1464.85,1282.99,1101.12,64.58,73.49,46.75
20200225,1312.48,1371.58,1312.48,1367.37,0.0,1.16,461.16,292.02,0.0,0.0,1473.66,1289.33,1105.0,62.32,69.77,47.43
20200226,1348.08,1361.01,1286.35,1288.24,0.0,-5.79,501.58,288.38,0.0,0.0,1473.19,1293.99,1114.8,42.05,60.53,5.09
20200227,1293.19,1293.19,1251.45,1264.94,0.0,-1.81,503.28,284.42,0.0,0.0,1473.3,1295.01,1116.73,30.83,50.63,-8.77
20200228,1206.86,1231.09,1187.1,1191.05,0.0,-5.84,513.21,275.46,0.0,0.0,1473.96,1294.46,1114.96,21.14,40.8,-18.18
20200302,1202.96,1259.08,1194.94,1252.62,0.0,5.17,497.97,242.4,0.0,0.0,1440.28,1305.57,1170.85,23.8,35.13,1.13
20200303,1278.27,1332.84,1272.06,1285.03,0.0,2.59,512.29,275.37,0.0,0.0,1427.98,1312.16,1196.33,31.95,34.07,27.71
20200304,1268.83,1277.69,1226.8,1255.72,0.0,-2.28,381.95,215.4,0.0,0.0,1422.79,1314.76,1206.73,33.56,33.9,32.88
20200305,1277.71,1277.71,1246.71,1264.79,0.0,0.72,431.26,207.46,0.0,0.0,1420.98,1316.06,1211.15,36.41,34.74,39.76
20200306,1246.1,1255.07,1237.62,1243.37,0.0,-1.69,326.12,168.85,0.0,0.0,1422.43,1312.84,1203.26,34.44,34.64,34.05
20200309,1216.04,1223.25,1171.86,1171.86,0.0,-5.75,387.27,188.78,0.0,0.0,1430.78,1305.32,1179.86,22.96,30.75,7.39
20200310,1148.4,1216.33,1135.21,1216.33,0.0,3.8,406.49,206.35,0.0,0.0,1433.05,1301.96,1170.87,28.99,30.16,26.65
20200311,1218.52,1233.43,1184.71,1184.71,0.0,-2.6,424.85,181.51,0.0,0.0,1432.43,1293.76,1155.1,27.68,29.33,24.36
20200312,1161.92,1177.36,1151.79,1167.06,0.0,-1.49,280.54,132.31,0.0,0.0,1429.57,1284.08,1138.59,23.82,27.5,16.48
20200313,1103.96,1187.7,1103.96,1175.28,0.0,0.7,338.33,178.57,0.0,0.0,1427.91,1276.48,1125.05,26.27,27.09,24.63
20200316,1188.08,1200.46,1115.08,1115.08,0.0,-5.12,318.12,169.3,0.0,0.0,1421.98,1263.16,1104.34,19.65,24.61,9.72
20200317,1132.95,1141.39,1079.84,1131.55,0.0,1.48,297.27,154.75,0.0,0.0,1405.52,1249.77,1094.01,21.81,23.67,18.08
20200318,1145.3,1173.23,1115.02,1115.02,0.0,-1.46,299.96,159.07,0.0,0.0,1392.29,1236.85,1081.4,21.23,22.86,17.97
20200319,1116.26,1133.69,1091.24,1128.97,0.0,1.25,278.5,144.56,0.0,0.0,1379.25,1225.88,1072.5,24.82,23.51,27.43
20200320,1140.09,1148.09,1114.29,1127.37,0.0,-0.14,235.6,131.45,0.0,0.0,1363.42,1214.9,1066.39,26.86,24.63,31.32
20200323,1092.5,1096.4,1037.53,1039.88,0.0,-7.76,283.05,139.91,0.0,0.0,1352.5,1199.31,1046.12,18.31,22.52,9.88
20200324,1067.01,1071.34,1020.25,1060.84,0.0,2.02,236.83,121.68,0.0,0.0,1327.91,1183.99,1040.06,19.71,21.58,15.97
20200325,1097.31,1110.1,1094.16,1101.32,0.0,3.82,249.63,124.35,0.0,0.0,1314.49,1174.64,1034.79,28.14,23.77,36.87
20200326,1093.33,1111.48,1091.0,1095.34,0.0,-0.54,211.38,109.86,0.0,0.0,1303.62,1166.16,1028.7,32.65,26.73,44.49
20200327,1109.54,1110.54,1082.93,1084.51,0.0,-0.99,229.2,106.41,0.0,0.0,1302.23,1160.83,1019.44,35.77,29.74,47.82
20200330,1062.9,1062.9,1021.5,1035.83,0.0,-4.49,226.09,110.65,0.0,0.0,1294.78,1149.99,1005.21,27.24,28.91,23.9
20200331,1048.74,1055.27,1027.22,1029.75,0.0,-0.59,170.37,87.26,0.0,0.0,1277.07,1137.23,997.39,20.64,26.15,9.61
20200401,1026.58,1060.71,1026.58,1037.93,0.0,0.79,175.06,88.3,0.0,0.0,1261.41,1126.34,991.27,18.37,23.56,7.99
20200402,1033.56,1094.83,1033.56,1094.83,0.0,5.48,209.31,111.39,0.0,0.0,1237.51,1117.84,998.17,39.49,28.87,60.75
20200403,1089.24,1095.31,1074.19,1080.53,0.0,-1.31,181.44,93.03,0.0,0.0,1215.45,1109.7,1003.95,48.35,35.36,74.34
20200407,1109.61,1117.79,1108.78,1111.65,0.0,2.88,198.62,97.56,0.0,0.0,1208.54,1106.69,1004.83,63.44,44.72,100.88
20200408,1104.96,1117.81,1100.31,1104.14,0.0,-0.68,170.74,84.23,0.0,0.0,1189.66,1101.08,1012.5,70.9,53.45,105.8
20200409,1107.47,1110.06,1094.92,1101.28,0.0,-0.26,203.17,95.85,0.0,0.0,1176.77,1096.91,1017.05,74.88,60.59,103.45
20200410,1100.37,1100.37,1054.35,1058.44,0.0,-3.89,227.14,109.13,0.0,0.0,1166.12,1091.48,1016.84,62.7,61.3,65.52
20200413,1048.21,1052.01,1038.82,1042.15,0.0,-1.54,151.91,71.41,0.0,0.0,1151.72,1084.82,1017.92,47.49,56.69,29.09
20200414,1049.21,1073.22,1049.21,1073.22,0.0,2.98,143.0,69.39,0.0,0.0,1148.32,1082.73,1017.14,48.7,54.03,38.05
20200415,1076.94,1101.67,1076.94,1088.2,0.0,1.4,166.23,90.1,0.0,0.0,1142.31,1080.56,1018.81,54.09,54.05,54.16
20200416,1080.87,1097.2,1080.87,1091.93,0.0,0.34,178.44,87.1,0.0,0.0,1139.37,1079.41,1019.44,58.47,55.52,64.36
20200417,1102.66,1129.12,1102.66,1117.07,0.0,2.3,258.57,121.6,0.0,0.0,1137.01,1078.81,1020.62,67.86,59.64,84.32
20200420,1119.26,1133.36,1115.72,1133.36,0.0,1.46,501.42,118.03,0.0,0.0,1138.35,1079.11,1019.87,78.58,65.95,103.83
20200421,1127.66,1127.66,1108.48,1119.23,0.0,-1.25,384.23,106.79,0.0,0.0,1141.91,1083.08,1024.25,80.74,70.88,100.45
20200422,1108.68,1135.85,1108.68,1135.85,0.0,1.49,382.16,118.12,0.0,0.0,1148.98,1086.83,1024.68,87.16,76.3,108.86
20200423,1140.8,1157.87,1140.55,1149.72,0.0,1.22,405.26,142.91,0.0,0.0,1156.99,1089.25,1021.51,89.16,80.59,106.29
20200424,1148.59,1155.54,1139.31,1144.15,0.0,-0.48,359.01,135.44,0.0,0.0,1163.52,1091.69,1019.86,88.56,83.25,99.19
20200427,1140.19,1145.75,1136.23,1138.1,0.0,-0.53,314.53,135.54,0.0,0.0,1168.88,1094.37,1019.86,84.23,83.57,85.55
20200428,1130.61,1130.61,1037.26,1113.51,0.0,-2.16,460.92,178.44,0.0,0.0,1168.1,1098.25,1028.4,77.23,81.46,68.77
20200429,1105.6,1125.19,1102.57,1102.7,0.0,-0.97,310.04,123.09,0.0,0.0,1164.28,1101.9,1039.52,69.57,77.5,53.72
20200430,1107.43,1171.8,1107.43,1166.35,0.0,5.77,408.72,171.55,0.0,0.0,1169.47,1108.32,1047.17,78.36,77.79,79.52
20200506,1155.12,1252.75,1155.12,1247.51,0.0,6.96,563.09,241.99,0.0,0.0,1201.65,1115.95,1030.26,84.77,80.11,94.07
20200507,1249.64,1249.64,1218.24,1224.1,0.0,-1.88,542.26,225.5,0.0,0.0,1219.19,1123.13,1027.08,85.41,81.88,92.48
20200508,1230.91,1272.62,1230.91,1240.25,0.0,1.32,465.94,210.29,0.0,0.0,1238.09,1129.56,1021.04,85.69,83.15,90.77
20200511,1244.3,1268.08,1215.97,1226.06,0.0,-1.14,412.55,192.66,0.0,0.0,1251.25,1135.66,1020.06,83.87,83.39,84.82
20200512,1222.39,1233.64,1203.15,1233.59,0.0,0.61,382.26,173.47,0.0,0.0,1264.21,1142.27,1020.34,83.72,83.5,84.15
20200513,1227.72,1252.58,1227.72,1247.03,0.0,1.09,406.9,188.03,0.0,0.0,1275.41,1151.7,1028.0,85.52,84.17,88.22
20200514,1241.84,1258.25,1238.23,1242.17,0.0,-0.39,467.83,205.64,0.0,0.0,1280.61,1161.7,1042.8,84.38,84.24,84.65
20200515,1244.74,1280.05,1244.74,1270.48,0.0,2.28,431.55,213.84,0.0,0.0,1292.19,1171.57,1050.94,87.74,85.41,92.4
20200518,1279.29,1279.29,1253.33,1254.3,0.0,-1.27,508.22,266.59,0.0,0.0,1299.26,1179.87,1060.49,84.95,85.26,84.35
20200519,1260.22,1324.42,1260.22,1324.42,0.0,5.59,480.76,253.79,0.0,0.0,1319.34,1191.5,1063.65,89.97,86.83,96.26
20200520,1317.4,1348.58,1297.67,1307.0,0.0,-1.32,562.37,287.03,0.0,0.0,1333.45,1200.99,1068.54,83.78,85.81,79.72
20200521,1305.91,1309.5,1251.52,1251.93,0.0,-4.21,494.91,246.73,0.0,0.0,1337.34,1206.92,1076.51,67.04,79.55,42.0
20200522,1247.6,1258.31,1208.82,1230.66,0.0,-1.7,424.09,206.08,0.0,0.0,1336.82,1212.49,1088.16,51.0,70.03,12.92
20200525,1223.87,1227.56,1205.73,1212.09,0.0,-1.51,339.07,164.47,0.0,0.0,1335.57,1216.31,1097.04,35.48,58.52,-10.59
20200526,1217.62,1272.92,1217.62,1272.66,0.0,5.0,446.59,206.25,0.0,0.0,1340.02,1222.45,1104.88,39.27,52.1,13.61
20200527,1271.46,1281.21,1251.08,1253.27,0.0,-1.52,457.16,215.37,0.0,0.0,1340.46,1227.91,1115.36,37.27,47.16,17.51
20200528,1251.06,1256.22,1206.62,1232.22,0.0,-1.68,423.93,212.04,0.0,0.0,1337.35,1232.61,1127.88,31.03,41.78,9.53
20200529,1227.2,1267.43,1227.2,1246.11,0.0,1.13,449.86,223.57,0.0,0.0,1328.64,1239.24,1149.85,30.11,37.89,14.55
20200601,1257.97,1309.96,1257.97,1300.74,0.0,4.38,507.2,261.39,0.0,0.0,1317.17,1249.15,1181.12,42.24,39.34,48.04
20200602,1305.8,1312.52,1294.22,1305.64,0.0,0.38,484.75,263.3,0.0,0.0,1316.95,1256.11,1195.28,59.35,46.01,86.02
20200603,1305.73,1314.14,1293.6,1294.28,0.0,-0.87,480.05,263.5,0.0,0.0,1321.34,1258.45,1195.56,66.79,52.94,94.5
20200604,1295.16,1306.07,1291.21,1299.8,0.0,0.43,549.97,266.54,0.0,0.0,1325.51,1262.23,1198.96,73.45,59.78,100.8
20200605,1300.25,1307.89,1292.05,1297.31,0.0,-0.19,474.01,239.69,0.0,0.0,1329.28,1265.09,1200.89,77.08,65.55,100.16
20200608,1306.5,1311.68,1277.29,1280.05,0.0,-1.33,472.88,244.92,0.0,0.0,1329.69,1267.79,1205.89,74.15,68.41,85.63
20200609,1277.45,1278.85,1269.11,1278.51,0.0,-0.12,427.95,218.16,0.0,0.0,1330.04,1270.03,1210.03,71.72,69.52,76.13
20200610,1278.07,1278.07,1265.11,1269.98,0.0,-0.67,571.06,227.18,0.0,0.0,1330.25,1271.18,1212.11,64.22,67.75,57.15
20200611,1270.72,1294.34,1265.38,1273.59,0.0,0.28,534.85,245.0,0.0,0.0,1330.31,1272.75,1215.2,52.08,62.53,31.19
20200612,1246.8,1268.46,1246.8,1262.29,0.0,-0.89,480.98,221.14,0.0,0.0,1330.07,1272.34,1214.61,42.39,55.81,15.54
20200615,1262.48,1271.91,1249.58,1249.91,0.0,-0.98,467.93,229.55,0.0,0.0,1330.16,1272.12,1214.09,29.8,47.14,-4.89
20200616,1259.09,1289.13,1259.09,1289.13,0.0,3.14,531.55,257.8,0.0,0.0,1323.9,1270.36,1216.82,41.61,45.3,34.24
20200617,1291.04,1299.78,1280.52,1291.12,0.0,0.15,545.97,260.75,0.0,0.0,1321.35,1269.56,1217.78,50.51,47.04,57.46
20200618,1289.77,1304.49,1286.47,1302.37,0.0,0.87,499.6,241.88,0.0,0.0,1325.09,1272.09,1219.08,62.23,52.1,82.48
20200619,1301.02,1329.2,1301.02,1325.15,0.0,1.75,472.5,230.66,0.0,0.0,1331.03,1276.81,1222.59,73.18,59.13,101.28
20200622,1347.94,1380.37,1347.94,1371.21,0.0,3.48,711.24,339.04,0.0,0.0,1345.03,1284.77,1224.51,79.83,66.03,107.44
20200623,1365.33,1407.19,1365.33,1407.19,0.0,2.62,580.09,288.83,0.0,0.0,1371.61,1291.49,1211.38,86.56,72.87,113.92
20200624,1408.55,1432.99,1406.87,1424.28,0.0,1.21,637.64,315.01,0.0,0.0,1396.79,1300.04,1203.3,89.48,78.41,111.62
20200629,1415.91,1415.91,1393.71,1401.64,0.0,-1.59,524.16,254.94,0.0,0.0,1409.6,1308.51,1207.43,87.29,81.37,99.13
20200630,1410.58,1454.31,1410.58,1447.89,0.0,3.3,553.37,289.49,0.0,0.0,1432.26,1318.6,1204.95,90.43,84.39,102.51
20200701,1453.25,1459.77,1417.6,1439.88,0.0,-0.55,627.86,332.22,0.0,0.0,1450.46,1325.56,1200.66,89.92,86.23,97.3
20200702,1439.01,1452.75,1424.15,1437.05,0.0,-0.2,599.48,323.75,0.0,0.0,1465.68,1332.13,1198.58,88.91,87.12,92.48
20200703,1435.08,1441.09,1408.08,1438.59,0.0,0.11,602.49,317.09,0.0,0.0,1479.37,1339.35,1199.32,88.16,87.47,89.54
20200706,1445.61,1547.14,1444.69,1538.4,0.0,6.94,944.94,461.27,0.0,93.95,1514.52,1351.28,1188.03,90.64,88.53,94.88
20200707,1550.3,1617.6,1550.3,1572.19,0.0,2.2,1032.0,556.98,0.0,95.64,1552.29,1365.02,1177.75,87.76,88.27,86.74
20200708,1572.78,1608.19,1555.31,1599.91,0.0,1.76,791.32,450.07,0.0,97.23,1589.91,1381.01,1172.12,89.21,88.58,90.45
20200709,1596.98,1681.91,1594.26,1666.85,0.0,4.18,968.08,576.22,0.0,101.25,1637.85,1400.43,1163.01,91.06,89.41,94.37
20200710,1653.5,1682.62,1633.18,1654.83,0.0,-0.72,781.81,506.12,0.0,100.77,1673.5,1419.67,1165.85,90.67,89.83,92.34
20200713,1647.18,1721.98,1640.98,1721.98,0.0,4.06,809.77,528.12,0.0,105.42,1718.55,1442.09,1165.64,93.78,91.15,99.04
20200714,1714.87,1726.19,1647.64,1701.58,0.0,-1.18,944.84,620.2,0.0,104.42,1749.54,1464.06,1178.58,93.27,91.86,96.11
20200715,1702.58,1707.63,1611.91,1612.03,0.0,-5.26,1000.88,680.51,0.0,99.23,1756.75,1482.16,1207.58,83.55,89.09,72.48
20200716,1606.44,1612.33,1460.64,1469.8,0.0,-8.82,1381.99,974.28,0.0,90.05,1751.29,1491.2,1231.11,58.68,78.95,18.13
20200717,1475.46,1495.91,1425.64,1443.4,0.0,-1.8,896.51,560.26,0.0,88.2,1743.49,1498.81,1254.14,41.09,66.33,-9.4
20200720,1459.78,1463.71,1388.28,1459.03,0.0,1.08,905.34,579.05,0.0,88.93,1735.16,1506.64,1278.13,34.37,55.68,-8.24
20200721,1456.49,1499.85,1454.59,1490.17,0.0,2.13,759.82,499.47,0.0,91.07,1728.0,1514.89,1301.79,32.96,48.11,2.68
20200722,1474.02,1519.12,1468.11,1497.23,0.0,0.47,991.08,644.06,0.0,91.02,1724.14,1521.2,1318.25,32.72,42.98,12.21
20200723,1487.2,1512.47,1459.73,1494.14,-3.09,-0.21,894.78,576.99,50.0,90.7,1722.16,1525.54,1328.92,32.26,39.41,17.97
20200724,1467.1,1474.46,1389.31,1389.31,-104.83,-7.02,1025.44,587.55,50.0,84.88,1724.56,1523.79,1323.03,21.61,33.47,-2.12
20200727,1396.49,1403.11,1361.98,1374.52,-14.79,-1.06,620.68,382.45,50.0,83.75,1726.82,1522.44,1318.06,15.61,27.52,-8.2
20200728,1385.79,1404.9,1383.28,1400.54,26.02,1.89,544.47,339.1,50.0,85.22,1728.9,1520.07,1311.24,15.54,23.53,-0.42
20200729,1400.92,1476.92,1395.97,1476.92,76.39,5.45,732.7,484.68,50.0,89.6,1728.52,1521.92,1315.32,34.74,27.27,49.7
20200730,1484.43,1496.27,1467.8,1472.79,-4.13,-0.28,740.29,506.2,50.0,89.33,1727.95,1523.71,1319.47,46.67,33.73,72.54
20200731,1469.1,1513.76,1467.78,1512.98,40.19,2.73,855.43,592.72,50.0,91.44,1728.01,1527.43,1326.85,63.14,43.54,102.36
20200803,1533.23,1622.81,1533.23,1622.81,109.84,7.26,966.54,667.59,50.0,97.76,1736.48,1531.65,1326.82,75.43,54.17,117.95
20200804,1620.79,1628.14,1555.9,1566.06,-56.76,-3.5,782.75,551.07,50.0,94.37,1735.95,1531.34,1326.74,75.84,61.39,104.75
20200805,1592.39,1597.47,1556.68,1588.62,22.57,1.44,716.72,517.9,50.0,96.03,1734.69,1530.78,1326.87,78.95,67.24,102.35
20200806,1582.47,1589.75,1552.54,1573.87,-14.75,-0.93,698.62,504.66,50.0,95.06,1721.47,1526.13,1330.79,79.17,71.22,95.07
20200807,1561.86,1568.56,1492.25,1526.8,-47.07,-2.99,735.75,500.34,50.0,91.86,1705.96,1519.73,1333.5,72.32,71.58,73.78
20200810,1520.1,1555.68,1507.27,1535.6,8.79,0.58,601.84,436.95,50.0,92.54,1672.29,1510.41,1348.53,68.26,70.48,63.82
20200811,1531.6,1539.84,1490.83,1491.84,-43.76,-2.85,577.14,389.33,50.0,89.92,1636.03,1499.92,1363.82,50.51,63.82,23.88
20200812,1485.56,1488.88,1422.73,1458.64,-33.2,-2.23,633.61,425.97,50.0,87.87,1619.2,1492.25,1365.3,39.5,55.71,7.07
20200813,1465.6,1482.63,1453.38,1468.23,9.59,0.66,494.5,377.19,50.0,88.16,1619.18,1492.18,1365.17,33.72,48.38,4.39
20200814,1466.8,1486.4,1453.74,1484.04,15.81,1.08,431.3,299.06,50.0,88.83,1619.32,1494.21,1369.1,32.43,43.06,11.15
20200817,1486.81,1501.25,1471.92,1496.4,12.36,0.83,750.68,384.9,50.0,89.38,1620.14,1496.08,1372.01,35.67,40.6,25.82
20200818,1496.42,1512.76,1492.96,1512.51,16.11,1.08,794.67,454.62,50.0,90.41,1621.43,1497.19,1372.96,41.7,40.97,43.17
20200819,1516.98,1517.89,1470.34,1472.02,-40.49,-2.68,801.65,427.29,50.0,88.19,1620.65,1495.93,1371.22,39.07,40.33,36.53
20200820,1460.03,1473.05,1438.46,1442.58,-29.44,-2.0,615.47,322.06,50.0,86.46,1620.22,1493.35,1366.48,31.02,37.23,18.61
20200821,1447.8,1467.98,1443.52,1447.71,5.13,0.36,521.51,276.91,50.0,87.02,1615.91,1496.27,1376.63,27.79,34.08,15.21
20200824,1453.49,1457.58,1421.89,1450.67,2.95,0.2,560.67,298.55,50.0,87.11,1608.28,1500.08,1391.88,28.52,32.23,21.1
20200825,1449.54,1462.9,1424.42,1427.7,-22.96,-1.58,526.99,282.69,50.0,85.72,1605.2,1501.44,1397.68,21.03,28.5,6.1
20200826,1422.0,1430.79,1377.21,1383.31,-44.4,-3.11,654.5,351.54,50.0,83.25,1612.3,1496.76,1381.22,15.47,24.15,-1.91
20200827,1389.94,1429.96,1380.13,1417.56,34.25,2.48,605.65,325.28,50.0,85.39,1614.24,1494.0,1373.76,19.87,22.73,14.16
20200828,1415.65,1416.82,1393.85,1413.64,-3.92,-0.28,565.29,340.76,50.0,85.24,1613.84,1489.03,1364.22,21.88,22.44,20.75
20200831,1417.66,1441.46,1417.66,1423.24,9.6,0.68,547.57,314.64,50.0,86.1,1590.71,1479.05,1367.4,25.49,23.46,29.56
20200901,1424.43,1435.65,1419.6,1426.65,3.42,0.24,443.19,247.55,50.0,81.87,1578.42,1472.08,1365.75,34.19,27.04,48.5
20200902,1430.87,1434.92,1411.84,1422.95,-3.7,-0.26,491.98,284.88,50.0,81.59,1557.6,1463.8,1369.99,39.59,31.22,56.33
20200903,1422.42,1423.89,1396.11,1402.14,-20.81,-1.46,530.49,310.18,50.0,80.25,1537.93,1455.21,1372.5,36.09,32.84,42.59
20200904,1377.39,1396.0,1371.16,1390.28,-11.86,-0.85,490.98,296.08,50.0,79.85,1528.84,1448.39,1367.93,31.01,32.23,28.56
20200907,1387.49,1394.9,1349.77,1356.7,-33.58,-2.42,620.76,368.68,50.0,77.78,1518.9,1439.44,1359.98,23.19,29.22,11.14
20200908,1356.82,1363.28,1328.92,1344.61,-12.09,-0.89,444.85,268.48,50.0,77.17,1517.79,1432.08,1346.37,20.11,26.18,7.96
20200909,1331.43,1332.07,1289.35,1298.08,-46.53,-3.46,625.22,293.73,50.0,74.53,1526.71,1424.05,1321.4,15.32,22.56,0.83
20200910,1309.32,1321.06,1276.5,1280.19,-17.89,-1.38,475.06,233.53,50.0,73.86,1532.69,1414.65,1296.61,10.96,18.69,-4.51
20200911,1279.84,1313.85,1272.84,1312.51,32.32,2.52,403.62,203.66,50.0,75.59,1527.57,1406.07,1284.57,15.43,17.6,11.07
20200914,1334.98,1372.83,1334.98,1348.07,35.56,2.71,437.32,245.07,50.0,78.08,1515.21,1398.66,1282.11,25.76,20.32,36.63
20200915,1348.79,1372.44,1334.82,1364.6,16.53,1.23,410.95,225.77,50.0,79.26,1496.16,1391.26,1286.36,37.42,26.02,60.22
20200916,1363.32,1364.42,1341.68,1349.67,-14.93,-1.09,413.37,207.05,50.0,78.07,1484.62,1385.14,1285.66,45.74,32.59,72.03
20200917,1347.45,1393.85,1335.03,1383.59,33.92,2.51,840.63,365.19,50.0,79.84,1478.12,1382.19,1286.27,60.74,41.98,98.26
20200918,1386.38,1403.92,1379.92,1403.9,20.31,1.47,637.62,302.12,50.0,81.08,1471.76,1380.0,1288.25,73.82,52.59,116.28
20200921,1407.07,1411.5,1390.9,1397.75,-6.15,-0.44,517.34,276.13,50.0,80.7,1463.7,1377.36,1291.02,79.24,61.47,114.78
20200922,1389.78,1403.26,1379.01,1390.09,-7.66,-0.55,557.16,273.0,50.0,80.22,1458.94,1375.48,1292.01,81.01,67.99,107.07
20200923,1401.37,1440.64,1400.28,1423.9,33.82,2.43,620.89,307.44,50.0,81.91,1463.57,1377.51,1291.45,84.02,73.33,105.39
20200924,1412.16,1416.38,1392.01,1394.93,-28.98,-2.04,503.15,249.41,50.0,80.05,1460.88,1376.37,1291.87,74.95,73.87,77.1
20200925,1399.39,1402.68,1360.55,1364.02,-30.9,-2.22,382.41,199.71,50.0,78.18,1456.78,1373.89,1291.01,59.16,68.97,39.55
20200928,1367.46,1369.04,1335.99,1338.95,-25.07,-1.84,452.32,225.68,50.0,76.82,1450.65,1369.68,1288.71,40.68,59.54,2.96
20200929,1345.99,1403.43,1345.99,1389.96,51.01,3.81,429.36,212.27,50.0,79.78,1445.14,1367.84,1290.55,44.46,54.51,24.35
20200930,1394.86,1431.88,1393.91,1418.8,28.83,2.07,398.51,202.56,50.0,81.34,1444.36,1367.64,1290.91,56.01,55.01,58.02
