time,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ
20200102,1005.62,1019.91,1005.62,1019.72,0.0,1.97,219.39,93.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200103,1021.67,1029.07,1018.68,1024.48,0.0,0.47,216.06,96.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200106,1020.0,1040.14,1020.0,1027.28,0.0,0.27,266.3,119.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200107,1025.66,1043.08,1019.86,1043.08,0.0,1.54,267.59,119.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200108,1035.84,1059.44,1034.51,1051.16,0.0,0.77,320.76,135.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200109,1060.58,1081.4,1060.58,1078.31,0.0,2.58,284.34,129.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200110,1082.31,1088.54,1076.44,1076.44,0.0,-0.17,251.55,107.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200113,1076.76,1105.85,1069.78,1105.85,0.0,2.73,246.63,116.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200114,1107.78,1133.9,1107.78,1118.31,0.0,1.13,326.25,153.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200115,1113.25,1120.35,1105.58,1114.77,0.0,-0.32,242.05,115.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200116,1116.51,1161.48,1116.51,1154.3,0.0,3.55,308.53,161.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200117,1159.37,1252.56,1159.37,1238.66,0.0,7.31,587.36,260.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200120,1239.44,1270.36,1208.69,1240.51,0.0,0.15,520.26,258.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200121,1233.65,1247.84,1194.8,1195.01,0.0,-3.67,420.68,208.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200122,1178.78,1247.61,1157.29,1244.52,0.0,4.14,479.47,231.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200123,1219.23,1262.44,1177.09,1202.1,0.0,-3.41,442.59,239.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200203,1018.28,1082.79,1015.6,1030.55,0.0,-14.27,546.65,223.92,0.0,0.0,0.0,0.0,0.0,53.53,76.9,6.8
20200204,1049.96,1153.23,1049.96,1153.23,0.0,11.9,528.62,252.14,0.0,0.0,0.0,0.0,0.0,53.7,69.17,22.76
20200205,1166.97,1240.37,1166.97,1203.61,0.0,4.37,586.02,312.35,0.0,0.0,0.0,0.0,0.0,60.4,66.24,48.71
20200206,1191.73,1251.84,1191.73,1238.76,0.0,2.92,559.0,288.87,0.0,0.0,1288.57,1128.03,967.5,69.46,67.32,73.76
