tradeDate,indexCode,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg
20121231,931151,,,,1000.0,,0.0,271.19,21.37,,
20130104,931151,,,,1014.28,,1.43,409.28,31.04,,
20130107,931151,,,,1028.87,,1.44,392.23,31.68,,
20130108,931151,,,,1040.42,,1.12,454.86,37.03,,
20130109,931151,,,,1040.58,,0.02,386.07,31.57,,
20130110,931151,,,,1067.08,,2.55,495.96,39.81,,
20130111,931151,,,,1042.56,,-2.3,497.44,41.81,,
20130114,931151,,,,1075.89,,3.2,442.11,38.17,,
20130115,931151,,,,1104.48,,2.66,582.68,48.95,,
20130116,931151,,,,1098.8,,-0.51,554.74,48.41,,
20130117,931151,,,,1076.03,,-2.07,357.66,30.91,,
20130118,931151,,,,1091.8,,1.46,383.28,31.63,,
20130121,931151,,,,1091.41,,-0.04,330.91,27.99,,
20130122,931151,,,,1077.02,,-1.32,372.33,32.04,,
20130123,931151,,,,1076.42,,-0.06,282.15,24.2,,
20130124,931151,,,,1051.25,,-2.34,324.78,27.83,,
20130125,931151,,,,1042.35,,-0.85,200.01,17.15,,
20130128,931151,,,,1063.55,,2.03,240.41,19.85,,
20130129,931151,,,,1065.02,,0.14,247.82,20.99,,
20130130,931151,,,,1069.29,,0.4,272.6,22.49,,
20130131,931151,,,,1058.74,,-0.99,251.7,21.32,,
20130201,931151,,,,1057.62,,-0.11,226.38,18.39,,
20130204,931151,,,,1048.6,,-0.85,286.25,23.77,,
20130205,931151,,,,1055.85,,0.69,208.66,17.38,,
20130206,931151,,,,1054.53,,-0.13,332.06,22.73,,
20130207,931151,,,,1053.52,,-0.1,236.46,16.74,,
20130208,931151,,,,1066.66,,1.25,244.22,18.34,,
20130218,931151,,,,1091.63,,2.34,395.25,30.45,,
20130219,931151,,,,1088.65,,-0.27,472.39,36.52,,
20130220,931151,,,,1099.22,,0.97,343.16,26.95,,
20130221,931151,,,,1079.57,,-1.79,391.7,31.53,,
20130222,931151,,,,1072.84,,-0.62,283.0,22.6,,
20130225,931151,,,,1080.01,,0.67,264.68,21.44,,
20130226,931151,,,,1057.84,,-2.05,317.36,25.67,,
20130227,931151,,,,1056.49,,-0.13,266.79,21.07,,
20130228,931151,,,,1090.2,,3.19,418.67,32.65,,
20130301,931151,,,,1106.72,,1.51,488.24,39.45,,
20130304,931151,,,,1077.19,,-2.67,498.92,39.58,,
20130305,931151,,,,1096.17,,1.76,388.41,29.92,,
20130306,931151,,,,1118.0,,1.99,495.28,40.56,,
20130307,931151,,,,1100.33,,-1.58,420.8,34.74,,
20130308,931151,,,,1086.91,,-1.22,278.36,22.75,,
20130311,931151,,,,1081.26,,-0.52,230.29,18.17,,
20130312,931151,,,,1057.64,,-2.18,349.37,26.56,,
20130313,931151,,,,1041.44,,-1.53,237.11,17.28,,
20130314,931151,,,,1045.31,,0.37,194.44,13.57,,
20130315,931151,,,,1051.76,,0.62,269.51,20.49,,
20130318,931151,,,,1029.95,,-2.07,269.57,20.78,,
20130319,931151,,,,1030.25,,0.03,269.56,19.01,,
20130320,931151,,,,1058.59,,2.75,313.69,23.42,,
20130321,931151,,,,1063.97,,0.51,295.3,23.32,,
20130322,931151,,,,1057.81,,-0.58,245.7,19.13,,
20130325,931151,,,,1056.39,,-0.13,217.67,17.19,,
20130326,931151,,,,1043.68,,-1.2,210.59,16.39,,
20130327,931151,,,,1048.79,,0.49,215.22,17.42,,
20130328,931151,,,,1022.61,,-2.5,259.59,20.14,,
20130329,931151,,,,1023.0,,0.04,193.73,15.82,,
20130401,931151,,,,1024.46,,0.14,163.2,13.17,,
20130402,931151,,,,1015.79,,-0.85,200.34,15.72,,
20130403,931151,,,,1009.43,,-0.63,164.41,12.42,,
20130408,931151,,,,1010.41,,0.1,172.55,12.97,,
20130409,931151,,,,1027.8,,1.72,186.62,15.03,,
20130410,931151,,,,1035.11,,0.71,281.06,22.34,,
