time,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg
20120831,2046.29,2059.3,2044.65,2047.52,-5.06,-0.25,4614.39,352.7,991.0,10.59
20120903,2044.83,2066.78,2041.16,2059.15,11.63,0.57,6063.55,479.11,991.0,0.0
20120904,2060.61,2063.82,2039.27,2043.65,-15.5,-0.75,5746.22,475.74,991.0,10.57
20120905,2038.87,2048.32,2029.05,2037.68,-5.97,-0.29,5764.98,448.86,991.0,10.54
20120906,2040.67,2052.95,2036.37,2051.92,14.24,0.7,5609.18,427.29,991.0,10.62
20120907,2062.99,2145.0,2062.99,2127.76,75.84,3.7,13993.26,1111.37,992.0,11.01
20120910,2128.07,2140.17,2120.49,2134.89,7.13,0.34,10358.0,861.11,992.0,11.04
20120911,2127.52,2127.52,2107.22,2120.55,-14.34,-0.67,8042.66,657.63,992.0,10.97
20120912,2129.69,2137.89,2109.14,2126.55,6.0,0.28,8411.47,691.57,992.0,10.99
20120913,2123.84,2130.08,2110.0,2110.38,-16.18,-0.76,7904.5,645.91,992.0,10.91
20120914,2127.39,2136.23,2111.12,2123.85,13.47,0.64,9124.83,761.79,992.0,10.98
20120917,2120.62,2121.58,2077.48,2078.5,-45.35,-2.14,7639.22,624.61,992.0,10.75
20120918,2069.34,2074.76,2053.66,2059.54,-18.96,-0.91,5379.49,436.32,992.0,10.66
20120919,2061.06,2069.95,2055.2,2067.83,8.29,0.4,5224.36,435.51,992.0,10.7
20120920,2060.31,2060.31,2023.09,2024.84,-42.99,-2.08,6748.27,539.59,993.0,10.48
20120921,2020.55,2041.95,2018.26,2026.69,1.85,0.09,6028.95,476.95,993.0,10.49
20120924,2015.77,2040.85,2005.26,2033.19,6.5,0.32,5763.78,455.76,993.0,10.52
20120925,2028.63,2039.1,2021.81,2029.29,-3.9,-0.19,4821.94,384.45,993.0,10.5
20120926,2027.86,2033.04,1999.48,2004.17,-25.12,-1.24,5040.08,384.15,993.0,10.38
20120927,2003.1,2068.07,2002.32,2056.32,52.15,2.6,7669.15,603.39,993.0,10.65
20120928,2042.89,2089.63,2040.35,2086.17,29.85,1.45,7944.9,648.02,993.0,10.8
20121008,2084.85,2096.26,2063.09,2074.42,-11.75,-0.56,5513.16,447.94,993.0,10.74
20121009,2081.59,2119.34,2081.59,2115.23,40.81,1.97,8456.38,675.2,993.0,10.95
20121010,2111.59,2121.99,2102.54,2119.94,4.71,0.22,7891.2,605.32,993.0,10.97
20121011,2114.23,2117.84,2101.14,2102.87,-17.07,-0.81,7449.7,567.44,993.0,10.88
20121012,2109.07,2127.31,2092.51,2104.93,2.06,0.1,6826.3,514.34,993.0,10.89
20121015,2105.02,2107.2,2085.12,2098.7,-6.23,-0.3,5394.08,423.09,993.0,10.86
20121016,2097.05,2111.78,2089.7,2098.81,0.11,0.01,5781.84,472.42,993.0,10.86
20121017,2104.28,2113.16,2088.04,2105.62,6.81,0.32,5987.41,470.71,993.0,10.9
20121018,2108.5,2137.69,2107.49,2131.69,26.07,1.24,8719.11,657.12,993.0,11.03
20121019,2129.82,2136.87,2125.74,2128.3,-3.39,-0.16,6764.13,506.06,993.0,11.01
20121022,2118.52,2138.03,2112.75,2132.76,4.46,0.21,6011.72,475.34,993.0,11.04
20121023,2132.11,2136.22,2111.92,2114.45,-18.31,-0.86,7268.38,540.13,994.0,10.96
20121024,2106.83,2124.0,2104.67,2115.99,1.54,0.07,7288.66,497.28,994.0,10.96
20121025,2114.76,2128.74,2100.61,2101.58,-14.41,-0.68,8539.31,556.9,994.0,10.89
20121026,2100.1,2102.16,2058.06,2066.21,-35.37,-1.68,7860.64,542.49,994.0,10.71
20121029,2061.85,2068.24,2053.09,2058.94,-7.27,-0.35,5363.5,390.78,994.0,10.68
20121030,2059.2,2075.91,2054.26,2062.35,3.4,0.17,6056.91,427.67,994.0,10.69
20121031,2061.12,2070.48,2053.58,2068.88,6.53,0.32,5952.72,431.59,994.0,10.61
20121101,2070.02,2109.5,2069.95,2104.43,35.55,1.72,8288.67,626.07,994.0,10.8
20121102,2105.45,2119.22,2096.53,2117.05,12.62,0.6,7655.72,558.7,994.0,10.86
20121105,2113.33,2123.33,2104.58,2114.03,-3.02,-0.14,7153.88,532.22,994.0,10.85
20121106,2113.66,2114.79,2078.47,2106.0,-8.03,-0.38,7134.39,536.98,994.0,10.81
20121107,2102.42,2112.63,2093.29,2105.73,-0.27,-0.01,5938.01,471.64,994.0,10.81
20121108,2091.25,2092.57,2070.65,2071.51,-34.22,-1.63,6659.46,492.76,994.0,10.64
20121109,2066.5,2077.23,2062.42,2069.07,-2.44,-0.12,5422.35,390.65,994.0,10.63
20121112,2069.21,2079.57,2061.84,2079.27,10.21,0.49,5669.49,420.84,994.0,10.68
20121113,2078.13,2078.13,2044.04,2047.89,-31.39,-1.51,6108.73,446.05,994.0,10.52
20121114,2047.26,2056.49,2040.17,2055.42,7.53,0.37,4809.3,358.84,994.0,10.56
20121115,2045.46,2053.56,2029.87,2030.29,-25.13,-1.22,5055.69,370.83,994.0,10.44
20121116,2026.56,2028.69,2001.72,2014.73,-15.57,-0.77,4958.17,368.21,994.0,10.35
20121119,2013.25,2018.38,1995.72,2016.98,2.26,0.11,4532.7,360.91,994.0,10.36
20121120,2020.43,2023.61,2004.17,2008.92,-8.06,-0.4,4258.06,333.73,994.0,10.32
20121121,2008.21,2031.15,1995.17,2030.32,21.4,1.07,5328.2,396.59,994.0,10.43
20121122,2021.21,2023.09,2009.72,2015.61,-14.71,-0.72,4557.78,337.27,994.0,10.36
20121123,2020.02,2034.88,2017.0,2027.38,11.77,0.58,5155.15,382.78,994.0,10.42
20121126,2023.34,2027.27,2014.03,2017.46,-9.92,-0.49,4477.96,331.11,994.0,10.37
20121127,2012.08,2014.21,1990.34,1991.17,-26.3,-1.3,5662.74,390.89,994.0,10.24
20121128,1984.48,1984.86,1968.21,1973.52,-17.64,-0.89,5050.56,344.93,994.0,10.16
20121129,1972.93,1980.56,1961.82,1963.49,-10.04,-0.51,4954.01,331.8,994.0,10.11
20121130,1961.82,1983.42,1959.33,1980.12,16.63,0.85,5689.34,377.39,994.0,10.19
20121203,1977.25,1988.19,1957.88,1959.77,-20.35,-1.03,6165.34,430.28,994.0,10.09
20121204,1956.62,1980.12,1949.46,1975.14,15.38,0.78,6237.81,430.55,994.0,10.17
20121205,1973.11,2040.6,1970.2,2031.91,56.76,2.87,11997.3,854.76,994.0,10.46
20121206,2029.56,2036.61,2018.38,2029.24,-2.67,-0.13,8145.92,584.53,994.0,10.45
20121207,2028.77,2065.75,2023.96,2061.79,32.55,1.6,11515.73,821.59,994.0,10.62
20121210,2067.32,2087.01,2064.62,2083.77,21.98,1.07,11538.32,814.69,994.0,10.73
20121211,2077.56,2088.64,2070.19,2074.7,-9.07,-0.44,9337.08,679.3,994.0,10.68
20121212,2073.27,2085.93,2066.39,2082.73,8.02,0.39,7855.91,571.15,994.0,10.73
20121213,2077.42,2081.36,2059.47,2061.48,-21.25,-1.02,7227.23,521.8,994.0,10.62
