time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,5527.64,0.0,0.0,5527.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,5493.65,0.0,0.0,5493.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,5486.21,0.0,0.0,5486.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,5508.38,0.0,0.0,5508.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,5415.45,0.0,0.0,5415.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,5430.1,0.0,0.0,5430.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,5449.56,0.0,0.0,5449.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,5451.59,0.0,0.0,5451.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,5408.39,0.0,0.0,5408.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,5189.48,0.0,0.0,5189.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6034.01,4838.08
2011-01-18,0.0,5215.12,0.0,0.0,5215.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5999.32,4810.27
2011-01-19,0.0,5312.92,0.0,0.0,5312.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5979.26,4794.18
2011-01-20,0.0,5136.89,0.0,0.0,5136.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5940.48,4763.09
2011-01-21,0.0,5183.13,0.0,0.0,5183.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5904.38,4734.14
2011-01-24,0.0,5144.82,0.0,0.0,5144.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5874.34,4710.06
