time,open,close,high,low,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-03-10,1088.34,1093.9,1103.54,1087.57,147947765,1121.35,1092.65,1063.94,57.52,45.59,81.39,2,1205.69,966.73
2011-03-11,1090.21,1101.76,1113.01,1088.65,153087359,1121.41,1094.16,1066.9,65.04,52.07,90.97,2,1206.43,967.32
2011-03-14,1099.32,1107.54,1107.54,1095.9,138307775,1122.82,1095.2,1067.58,73.46,59.2,101.98,2,1207.29,968.01
2011-03-15,1108.2,1094.95,1108.2,1078.23,155296563,1122.97,1095.56,1068.16,71.64,63.35,88.23,2,1206.95,967.74
2011-03-16,1094.12,1102.22,1102.67,1094.12,122243701,1122.38,1095.31,1068.25,74.72,67.14,89.89,2,1208.43,968.92
2011-03-17,1096.22,1078.37,1096.22,1074.87,139306517,1119.85,1093.47,1067.08,56.35,63.54,41.95,2,1209.99,970.17
2011-03-18,1081.6,1083.6,1088.31,1079.56,98539393,1119.14,1092.62,1066.11,45.7,57.6,21.92,2,1211.3,971.22
2011-03-21,1083.15,1070.6,1084.55,1068.32,90552338,1115.81,1090.27,1064.73,32.17,49.12,-1.73,2,1210.46,970.55
2011-03-22,1072.39,1067.29,1074.08,1057.86,81475720,1116.66,1089.22,1061.78,27.15,41.8,-2.15,2,1208.52,968.99
2011-03-23,1066.17,1076.56,1076.56,1064.59,98236864,1112.79,1087.35,1061.9,29.4,37.66,12.87,2,1207.32,968.03
2011-03-24,1078.02,1077.99,1081.59,1074.04,97429807,1110.98,1086.15,1061.32,32.93,36.09,26.62,2,1205.56,966.62
2011-03-25,1077.34,1072.34,1078.02,1069.38,105006259,1110.18,1085.01,1059.84,31.54,34.57,25.48,2,1202.29,964.0
2011-03-28,1072.89,1052.11,1074.41,1051.02,130275324,1110.62,1082.63,1054.63,21.73,30.29,4.61,2,1196.14,959.07
2011-03-29,1050.29,1019.04,1050.29,1017.88,130338424,1117.18,1078.68,1040.17,14.98,25.19,-5.43,2,1187.71,952.31
2011-03-30,1017.17,1006.37,1019.17,1004.38,101020172,1123.94,1074.55,1025.16,10.78,20.38,-8.44,2,1177.07,943.78
2011-03-31,1006.72,1008.3,1019.32,1005.37,92020284,1128.89,1071.75,1014.61,8.81,16.53,-6.61,2,1169.3,937.54
2011-04-01,1006.04,1015.08,1015.08,1002.86,76705176,1131.16,1068.91,1006.66,11.05,14.7,3.75,2,1161.69,931.45
2011-04-06,1011.68,994.26,1011.82,992.31,95852849,1134.74,1064.72,994.7,8.09,12.5,-0.71,2,1153.22,924.65
2011-04-07,993.38,1004.41,1004.41,992.43,89120610,1134.76,1060.7,986.64,9.91,11.64,6.47,2,1146.24,919.05
2011-04-08,1004.14,1019.14,1019.14,1002.38,83933511,1132.4,1057.29,982.18,17.04,13.44,24.25,2,1139.86,913.94
2011-04-11,1021.31,1002.8,1022.56,1002.43,95317115,1129.45,1052.74,976.03,15.62,14.17,18.53,2,1131.52,907.25
2011-04-12,1000.77,1000.17,1007.25,997.75,80753607,1124.16,1047.66,971.15,14.93,14.42,15.95,2,1123.51,900.83
2011-04-13,999.53,1020.75,1020.75,998.52,90762098,1115.47,1043.32,971.17,41.29,23.38,77.12,2,1120.03,898.04
2011-04-14,1021.1,1016.62,1021.46,1013.99,88570021,1108.35,1039.4,970.45,54.32,33.69,95.57,2,1119.76,897.82
2011-04-15,1015.97,1010.06,1016.15,1002.64,84576461,1098.45,1034.79,971.14,55.77,41.05,85.21,2,1120.17,898.15
2011-04-18,1008.48,1003.26,1010.66,1000.18,84474443,1092.8,1031.04,969.28,49.25,43.78,60.17,2,1119.61,897.7
2011-04-19,1000.88,994.3,1000.88,986.9,99345122,1085.33,1026.57,967.82,39.75,42.44,34.37,2,1117.3,895.85
2011-04-20,993.94,1008.18,1009.5,991.88,102564044,1079.07,1023.45,967.84,46.39,43.76,51.66,2,1118.85,897.09
2011-04-21,1007.98,1010.56,1017.7,1006.91,137908246,1072.67,1020.62,968.56,53.04,46.85,65.43,2,1119.53,897.64
2011-04-22,1008.17,1004.65,1008.3,1000.92,103046908,1062.66,1017.02,971.38,52.48,48.73,59.99,2,1117.92,896.35
2011-04-25,1001.08,975.18,1001.08,974.99,114029871,1051.68,1011.88,972.08,35.12,44.19,16.99,2,1114.85,893.89
2011-04-26,970.96,958.29,973.56,954.98,101704765,1042.19,1006.18,970.16,25.08,37.82,-0.41,2,1110.21,890.16
2011-04-27,956.77,942.54,961.64,936.99,108868409,1040.26,1000.7,961.14,19.01,31.55,-6.07,2,1101.52,883.2
2011-04-28,941.2,904.15,944.7,903.03,117498918,1051.79,994.95,938.12,13.0,25.37,-11.74,2,1089.04,873.19
2011-04-29,901.16,912.72,912.72,897.2,76430937,1057.12,990.27,923.42,12.96,21.23,-3.58,2,1078.24,864.53
2011-05-03,911.79,922.07,923.06,907.28,72907907,1058.48,985.96,913.44,15.52,19.33,7.9,2,1069.22,857.3
2011-05-04,919.67,903.99,919.67,901.92,73474714,1059.84,980.41,900.97,12.22,16.96,2.75,2,1059.2,849.27
2011-05-05,901.48,914.59,919.6,900.35,78096414,1060.53,976.42,892.31,13.37,15.76,8.58,2,1048.81,840.94
2011-05-06,910.14,918.28,920.77,904.74,77467650,1058.83,972.12,885.4,15.68,15.73,15.56,2,1038.57,832.72
2011-05-09,920.12,931.77,935.9,920.12,100484281,1053.34,967.75,882.15,25.54,19.0,38.62,2,1030.48,826.24
2011-05-10,932.88,931.21,933.24,925.04,77970073,1049.59,964.17,878.74,34.62,24.21,55.44,2,1025.6,822.33
2011-05-11,931.51,929.95,933.28,923.26,76741978,1045.64,960.66,875.67,46.06,31.49,75.2,2,1022.45,819.8
2011-05-12,927.15,909.26,927.15,909.14,89158852,1038.17,955.08,871.99,41.1,34.69,53.9,2,1018.76,816.84
2011-05-13,909.25,909.77,912.61,897.8,88196102,1030.01,949.74,869.47,37.87,35.75,42.1,2,1019.38,817.34
2011-05-16,911.34,906.34,916.02,906.08,70457092,1021.91,944.55,867.19,32.72,34.74,28.67,2,1018.67,816.77
2011-05-17,903.98,895.15,904.48,890.36,102274619,1014.43,939.15,863.87,25.32,31.6,12.75,2,1015.68,814.38
2011-05-18,891.99,890.79,894.89,888.18,81028559,1007.59,933.97,860.36,18.7,27.3,1.5,2,1014.22,813.2
2011-05-19,891.48,884.89,895.54,883.87,72114033,995.98,927.81,859.64,13.12,22.57,-5.78,2,1010.92,810.56
2011-05-20,884.06,875.43,884.33,873.87,74123049,981.42,921.05,860.69,9.62,18.26,-7.65,2,1006.17,806.75
2011-05-23,873.31,840.9,873.59,840.65,116210341,969.98,912.86,855.74,6.51,14.34,-9.16,2,996.08,798.66
2011-05-24,836.79,870.94,876.6,828.5,171762765,959.89,907.65,855.41,18.68,15.79,24.46,1,989.39,793.29
2011-05-25,867.68,842.35,867.68,842.12,118773270,956.03,901.85,847.68,17.73,16.43,20.31,1,979.67,785.5
2011-05-26,843.62,830.92,852.98,830.64,98557357,955.31,896.27,837.24,12.74,15.2,7.81,1,970.97,778.53
2011-05-27,830.61,822.94,835.87,819.87,116016025,959.16,892.21,825.26,9.7,13.37,2.37,1,961.33,770.8
2011-05-30,819.87,834.32,844.97,816.39,157634494,959.05,888.29,817.53,14.02,13.59,14.89,1,953.34,764.39
2011-05-31,836.35,846.32,846.32,828.66,139757897,955.74,884.51,813.27,21.95,16.37,33.11,2,947.92,760.04
2011-06-01,846.48,851.17,852.66,843.29,137582329,953.92,881.86,809.81,31.7,21.48,52.13,2,943.52,756.52
2011-06-02,841.52,833.74,841.52,823.1,116679456,951.14,877.82,804.5,30.74,24.57,43.08,2,937.84,751.96
2011-06-03,833.44,847.55,849.73,832.53,112463739,946.27,874.29,802.3,37.74,28.96,55.31,2,934.75,749.48
2011-06-07,845.25,847.71,848.22,842.46,92637228,937.84,870.08,802.32,45.52,34.48,67.59,2,935.5,750.09
2011-06-08,846.67,844.98,846.93,836.99,100812579,928.19,865.77,803.35,56.39,41.78,85.61,2,932.62,747.78
2011-06-09,843.58,828.02,843.58,828.02,115409327,917.71,860.67,803.64,48.28,43.95,56.95,2,931.03,746.5
2011-06-10,825.55,824.03,826.54,811.09,97113240,910.98,856.41,801.85,42.56,43.49,40.72,2,930.27,745.89
2011-06-13,820.24,829.36,833.25,811.39,96660522,902.29,852.39,802.5,43.03,43.33,42.41,2,930.98,746.46
2011-06-14,829.51,838.47,840.69,829.27,102989633,892.59,849.0,805.41,50.64,45.77,60.38,2,931.44,746.83
2011-06-15,837.54,827.53,840.54,826.94,103205775,884.61,845.62,806.62,47.94,46.49,50.84,2,929.35,745.16
